name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
brazil,2020-01-01,24.7,19.1,21.5,24.7,19.1,21.5,17.9,80.9,17,100,4.17,rain,0,0,33.8,11.5,327.1,1012.3,62,10.6,255.5,22.1,9,,2020-01-01T05:43:43,2020-01-01T18:46:26,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-02,26.6,18.2,22.2,26.6,18.2,22.2,18.3,79.9,0,0,0,,0,0,35.3,13.4,316,1012.3,72.1,10.4,190,16.4,8,,2020-01-02T05:44:18,2020-01-02T18:46:47,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-03,27.6,18.7,21.8,28.5,18.7,21.8,18.4,82.3,4,100,4.17,rain,0,0,40,14.5,314,1012.7,77.4,10.9,234.6,20.4,8,,2020-01-03T05:44:54,2020-01-03T18:47:07,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-04,25.1,19.2,20.6,25.1,19.2,20.6,18.7,89.3,8,100,8.33,rain,0,0,42.5,22.3,325.8,1012.6,73.8,8.8,158.9,13.8,6,,2020-01-04T05:45:29,2020-01-04T18:47:26,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-05,22.1,17.7,19.2,22.1,17.7,19.2,18.2,93.9,44,100,16.67,rain,0,0,34.9,12.6,329.6,1013,70,7,116.3,10.1,4,,2020-01-05T05:46:05,2020-01-05T18:47:44,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-06,25.1,18.7,21.2,25.1,18.7,21.2,18.1,83.4,0,0,0,,0,0,43.6,19.5,314.4,1013.5,73.7,10.7,169,14.6,6,,2020-01-06T05:46:41,2020-01-06T18:48:01,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-07,26.7,19.1,22.5,27.7,19.1,22.5,18.5,79.1,2,100,4.17,rain,0,0,32,15.9,328.7,1014.1,72.9,10.7,260.5,22.4,8,,2020-01-07T05:47:17,2020-01-07T18:48:17,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-08,26.6,19.7,22.9,26.6,19.7,22.9,18.9,79.5,2,100,4.17,rain,0,0,29.5,11.5,313.5,1014.2,61.2,10.9,188.9,16.2,7,,2020-01-08T05:47:53,2020-01-08T18:48:32,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-09,26.1,18.2,21.3,26.1,18.2,21.3,18.8,86.3,27,100,8.33,rain,0,0,27,20.9,290.7,1015.4,60.8,10.4,247,21.4,9,,2020-01-09T05:48:29,2020-01-09T18:48:46,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-10,29.2,18.2,23.6,29.9,18.2,23.8,18.3,74.4,0,0,0,,0,0,26.6,11.5,104.2,1013.6,49.6,10.9,283.1,24.6,9,,2020-01-10T05:49:05,2020-01-10T18:48:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-11,29.6,18.7,25.1,30.1,18.7,25.1,16.7,63.5,0,0,0,,0,0,27.4,14.8,76.3,1012.9,49.3,10.7,334.5,29,10,,2020-01-11T05:49:42,2020-01-11T18:49:11,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-12,30.6,17.6,24.5,29.3,17.6,24.2,14.6,58.2,0,0,0,,0,0,18.4,10.4,55.5,1013.5,27.4,10.9,328.6,28.4,10,,2020-01-12T05:50:18,2020-01-12T18:49:21,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86736099999,86716099999"
brazil,2020-01-13,32,18.2,25.2,31,18.2,24.9,15.1,57.5,0,0,0,,0,0,21.6,16.6,86.4,1013.8,45.1,10.9,288.8,24.9,9,,2020-01-13T05:50:54,2020-01-13T18:49:31,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-14,30.7,20.2,25.4,29.6,20.2,25.3,16.2,59.8,0,0,0,,0,0,24.1,12.3,117.3,1012.8,44.3,10.9,291.5,25.1,10,,2020-01-14T05:51:30,2020-01-14T18:49:39,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-15,30.2,19.1,25,30.2,19.1,25,16,59.8,0,0,0,,0,0,28.1,13.8,84.2,1012.2,41.1,10.9,303,26.2,10,,2020-01-15T05:52:06,2020-01-15T18:49:46,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
brazil,2020-01-16,30.7,20.6,25.3,30.5,20.6,25.3,16.4,59.9,0,0,0,,0,0,25.9,12.7,100.4,1014.2,38.9,10.9,314.5,27,10,,2020-01-16T05:52:42,2020-01-16T18:49:52,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"86715099999,SBBR,83378099999,86716099999,86736099999"
